2026-08-05 08:57:04,734 REQ-994850 | /accounts/login/ | VIEW | 1197ms | 16 | SLOW
2026-08-05 08:57:04,734 REQ-994850 | /accounts/login/ | MW_MODULE_ACCESS | 1256ms | 0 | SLOW
2026-08-05 08:57:04,734 REQ-994850 | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-08-05 08:57:04,734 REQ-994850 | /accounts/login/ | TOTAL | 1258ms | 16 | SLOW
2026-08-05 08:57:33,595 REQ-24B5EF | /spider_spindle_zone_two/ss_z2_completed/ | MIDDLEWARE_AUTH | 8ms | 0 | OK
2026-08-05 08:57:33,595 REQ-24B5EF | /spider_spindle_zone_two/ss_z2_completed/ | DB | 26ms | 20 | OK
2026-08-05 08:57:33,595 REQ-24B5EF | /spider_spindle_zone_two/ss_z2_completed/ | VIEW | 19128ms | 20 | CRITICAL
2026-08-05 08:57:33,595 REQ-24B5EF | /spider_spindle_zone_two/ss_z2_completed/ | MW_MODULE_ACCESS | 19206ms | 0 | CRITICAL
2026-08-05 08:57:33,595 REQ-24B5EF | /spider_spindle_zone_two/ss_z2_completed/ | TEMPLATE | 48ms | 0 | OK
2026-08-05 08:57:33,595 REQ-24B5EF | /spider_spindle_zone_two/ss_z2_completed/ | TOTAL | 19211ms | 20 | CRITICAL
2026-08-05 10:43:47,658 REQ-5843BA | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-08-05 10:43:47,658 REQ-5843BA | /rowlock/status/ | DB | 3ms | 3 | OK
2026-08-05 10:43:47,658 REQ-5843BA | /rowlock/status/ | VIEW | 1827ms | 3 | SLOW
2026-08-05 10:43:47,658 REQ-5843BA | /rowlock/status/ | MW_MODULE_ACCESS | 1815ms | 0 | SLOW
2026-08-05 10:43:47,658 REQ-5843BA | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-08-05 10:43:47,658 REQ-5843BA | /rowlock/status/ | TOTAL | 1830ms | 3 | SLOW
2026-08-05 10:45:30,667 REQ-B52181 | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-08-05 10:45:30,667 REQ-B52181 | /rowlock/status/ | DB | 12ms | 3 | OK
